course_name,input_rows,dropped_empty_instructors,dropped_out_of_year_range,dropped_by_cap,output_rows
COMP2011,311,43,7,181,80
COMP1022P,356,40,7,229,80
COMP1022Q,231,14,15,122,80
COMP2711,177,19,5,73,80
COMP1021,1234,190,25,939,80
COMP2012,109,8,4,17,80
COMP2012H,75,2,3,0,70
COMP1942,73,3,1,0,69
COMP2711H,66,0,1,0,65
COMP3711,73,7,2,0,64
COMP3511,67,4,0,0,63
COMP1001,74,14,0,0,60
COMP2211,60,3,0,0,57
COMP2611,62,2,3,0,57
COMP3111,62,4,1,0,57
COMP1023,63,7,0,0,56
COMP3021,51,1,1,0,49
COMP3311,49,4,1,0,44
COMP5212,43,7,0,0,36
COMP4211,34,3,0,0,31
COMP1944,31,2,0,0,29
COMP3031,29,1,1,0,27
COMP1029C,37,7,4,0,26
COMP5621,34,9,0,0,25
COMP4021,23,1,0,0,22
COMP3721,22,1,0,0,21
COMP3211,24,3,0,0,21
COMP4441,20,0,0,0,20
COMP1943,22,2,0,0,20
COMP1029J,25,5,1,0,19
COMP1029V,21,1,1,0,19
COMP4431,18,0,1,0,17
COMP3711H,17,1,0,0,16
COMP4421,15,0,0,0,15
COMP4331,16,1,0,0,15
COMP3632,14,0,0,0,14
COMP5211,16,3,0,0,13
COMP4651,14,1,0,0,13
COMP4221,13,0,0,0,13
COMP1029P,19,6,1,0,12
COMP4332,11,0,0,0,11
COMP4411,12,0,1,0,11
COMP4621,10,0,0,0,10
COMP3111H,9,0,0,0,9
COMP4632,9,0,0,0,9
COMP4471,9,0,0,0,9
COMP4521,9,0,1,0,8
COMP4321,8,0,0,0,8
COMP2633,11,3,0,0,8
COMP4631,8,0,0,0,8
COMP4461,7,0,0,0,7
COMP4901U,7,0,0,0,7
COMP4641,6,0,0,0,6
COMP5631,6,0,0,0,6
COMP4462,8,2,0,0,6
COMP4222,5,0,0,0,5
COMP4901N,5,0,0,0,5
COMP4901Y,5,0,0,0,5
COMP4901W,5,0,0,0,5
COMP5311,4,0,0,0,4
COMP3631,5,1,0,0,4
COMP4541,4,0,0,0,4
COMP4611,4,0,0,0,4
COMP4451,6,1,1,0,4
COMP4634,3,0,0,0,3
COMP4901K,2,0,0,0,2
COMP4121,2,0,0,0,2
COMP3633,2,0,0,0,2
COMP4981,3,1,0,0,2
COMP4633,2,0,0,0,2
COMP4531,3,1,0,0,2
COMP1028,2,0,0,0,2
COMP4901O,2,0,0,0,2
COMP4635,2,1,0,0,1
COMP5221,1,0,0,0,1
COMP4900,5,5,0,0,0
COMP4910,1,1,0,0,0
COMP1991,1,1,0,0,0
