course name,course review number,Output path
COMP1021,1234,ust_reviews\COMP1021
COMP1022P,356,ust_reviews\COMP1022P
COMP2011,311,ust_reviews\COMP2011
COMP1022Q,231,ust_reviews\COMP1022Q
COMP2711,177,ust_reviews\COMP2711
COMP2012,109,ust_reviews\COMP2012
COMP2012H,75,ust_reviews\COMP2012H
COMP1001,74,ust_reviews\COMP1001
COMP1942,73,ust_reviews\COMP1942
COMP3711,73,ust_reviews\COMP3711
COMP3511,67,ust_reviews\COMP3511
COMP2711H,66,ust_reviews\COMP2711H
COMP1023,63,ust_reviews\COMP1023
COMP2611,62,ust_reviews\COMP2611
COMP3111,62,ust_reviews\COMP3111
COMP2211,60,ust_reviews\COMP2211
COMP3021,51,ust_reviews\COMP3021
COMP3311,49,ust_reviews\COMP3311
COMP5212,43,ust_reviews\COMP5212
COMP1029C,37,ust_reviews\COMP1029C
COMP4211,34,ust_reviews\COMP4211
COMP5621,34,ust_reviews\COMP5621
COMP1944,31,ust_reviews\COMP1944
COMP3031,29,ust_reviews\COMP3031
COMP1029J,25,ust_reviews\COMP1029J
COMP3211,24,ust_reviews\COMP3211
COMP4021,23,ust_reviews\COMP4021
COMP1943,22,ust_reviews\COMP1943
COMP3721,22,ust_reviews\COMP3721
COMP1029V,21,ust_reviews\COMP1029V
COMP4441,20,ust_reviews\COMP4441
COMP1029P,19,ust_reviews\COMP1029P
COMP4431,18,ust_reviews\COMP4431
COMP3711H,17,ust_reviews\COMP3711H
COMP4331,16,ust_reviews\COMP4331
COMP5211,16,ust_reviews\COMP5211
COMP4421,15,ust_reviews\COMP4421
COMP3632,14,ust_reviews\COMP3632
COMP4651,14,ust_reviews\COMP4651
COMP4221,13,ust_reviews\COMP4221
COMP4411,12,ust_reviews\COMP4411
COMP2633,11,ust_reviews\COMP2633
COMP4332,11,ust_reviews\COMP4332
COMP4621,10,ust_reviews\COMP4621
COMP3111H,9,ust_reviews\COMP3111H
COMP4471,9,ust_reviews\COMP4471
COMP4521,9,ust_reviews\COMP4521
COMP4632,9,ust_reviews\COMP4632
COMP4321,8,ust_reviews\COMP4321
COMP4462,8,ust_reviews\COMP4462
COMP4631,8,ust_reviews\COMP4631
COMP4461,7,ust_reviews\COMP4461
COMP4901U,7,ust_reviews\COMP4901U
COMP4451,6,ust_reviews\COMP4451
COMP4641,6,ust_reviews\COMP4641
COMP5631,6,ust_reviews\COMP5631
COMP3631,5,ust_reviews\COMP3631
COMP4222,5,ust_reviews\COMP4222
COMP4900,5,ust_reviews\COMP4900
COMP4901N,5,ust_reviews\COMP4901N
COMP4901W,5,ust_reviews\COMP4901W
COMP4901Y,5,ust_reviews\COMP4901Y
COMP4541,4,ust_reviews\COMP4541
COMP4611,4,ust_reviews\COMP4611
COMP5311,4,ust_reviews\COMP5311
COMP4531,3,ust_reviews\COMP4531
COMP4634,3,ust_reviews\COMP4634
COMP4981,3,ust_reviews\COMP4981
COMP1028,2,ust_reviews\COMP1028
COMP3633,2,ust_reviews\COMP3633
COMP4121,2,ust_reviews\COMP4121
COMP4633,2,ust_reviews\COMP4633
COMP4635,2,ust_reviews\COMP4635
COMP4901K,2,ust_reviews\COMP4901K
COMP4901O,2,ust_reviews\COMP4901O
COMP1991,1,ust_reviews\COMP1991
COMP4910,1,ust_reviews\COMP4910
COMP5221,1,ust_reviews\COMP5221
