courses_with_reviews,courses_without_reviews
COMP1021,COMP1945
COMP1022P,COMP3071
COMP2011,COMP4551
COMP1022Q,COMP4901
COMP2711,COMP4901M
COMP2012,COMP4901P
COMP2012H,COMP4901S
COMP1001,COMP4911
COMP1942,COMP4971
COMP3711,COMP4981H
COMP3511,
COMP2711H,
COMP1023,
COMP2611,
COMP3111,
COMP2211,
COMP3021,
COMP3311,
COMP5212,
COMP1029C,
COMP4211,
COMP5621,
COMP1944,
COMP3031,
COMP1029J,
COMP3211,
COMP4021,
COMP1943,
COMP3721,
COMP1029V,
COMP4441,
COMP1029P,
COMP4431,
COMP3711H,
COMP4331,
COMP5211,
COMP4421,
COMP3632,
COMP4651,
COMP4221,
COMP4411,
COMP2633,
COMP4332,
COMP4621,
COMP3111H,
COMP4471,
COMP4521,
COMP4632,
COMP4321,
COMP4462,
COMP4631,
COMP4461,
COMP4901U,
COMP4451,
COMP4641,
COMP5631,
COMP3631,
COMP4222,
COMP4900,
COMP4901N,
COMP4901W,
COMP4901Y,
COMP4541,
COMP4611,
COMP5311,
COMP4531,
COMP4634,
COMP4981,
COMP1028,
COMP3633,
COMP4121,
COMP4633,
COMP4635,
COMP4901K,
COMP4901O,
COMP1991,
COMP4910,
COMP5221,
